name,lat,lon,country_code
Austria,47.59397,14.12456,AT
Belgium,50.6402809,4.6667145,BE
Bulgaria,42.6073975,25.4856617,BG
Croatia,45.3658443,15.6575209,HR
Cyprus,34.9823018,33.1451285,CY
Czechia,49.7439047,15.3381061,CZ
Denmark,55.670249,10.3333283,DK
Estonia,58.7523778,25.3319078,EE
Finland,63.2467777,25.9209164,FI
France,46.603354,1.8883335,FR
Germany,51.1638175,10.4478313,DE
Greece,38.9953683,21.9877132,GR
Hungary,47.1817585,19.5060937,HU
Iceland,64.9841821,-18.1059013,IS
Ireland,52.865196,-7.9794599,IE
Italy,42.6384261,12.674297,IT
Latvia,56.8406494,24.7537645,LV
Liechtenstein,47.1416307,9.5531527,LI
Lithuania,55.3500003,23.7499997,LT
Luxembourg,49.8158683,6.1296751,LU
Malta,35.8885993,14.4476911,MT
Netherlands,52.2434979,5.6343227,NL
Norway,61.1529386,8.7876653,NO
Poland,52.215933,19.134422,PL
Portugal,39.6621648,-8.1353519,PT
Romania,45.9852129,24.6859225,RO
Slovakia,48.7411522,19.4528646,SK
Slovenia,46.1199444,14.8153333,SI
Spain,39.3260685,-4.8379791,ES
Sweden,59.6749712,14.5208584,SE
